n_features,feature_selection,features,target,MAE,MSE,R_Squared,MAPE,MSLE
24,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Maximum eNodeB RB utilization DL (Nom)(number)'],
      dtype='object')",dl_avg,1.477,3.713,0.056,0.19,0.046
25,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Maximum eNodeB RB utilization DL (Nom)(number)',
       'RRC Setup Success Ratio_DENOM_LTE(number)'],
      dtype='object')",dl_avg,1.511,3.936,-0.0,0.202,0.05
26,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Maximum eNodeB RB utilization DL (Nom)(number)',
       'RRC Setup Success Ratio_DENOM_LTE(number)',
       'RRC Setup Success Ratio_NOM_LTE(number)'],
      dtype='object')",dl_avg,1.572,4.057,-0.031,0.207,0.051
27,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Maximum eNodeB RB utilization DL (Nom)(number)',
       'RRC Setup Success Ratio_DENOM_LTE(number)',
       'RRC Setup Success Ratio_NOM_LTE(number)', 'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",dl_avg,1.531,3.934,0.0,0.201,0.049
28,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Maximum eNodeB RB utilization DL (Nom)(number)',
       'RRC Setup Success Ratio_DENOM_LTE(number)',
       'RRC Setup Success Ratio_NOM_LTE(number)', 'MS_RBLER-DL_DENOM(number)',
       'ul_avg'],
      dtype='object')",dl_avg,1.585,4.26,-0.083,0.207,0.054
29,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Maximum eNodeB RB utilization DL (Nom)(number)',
       'RRC Setup Success Ratio_DENOM_LTE(number)',
       'RRC Setup Success Ratio_NOM_LTE(number)', 'MS_RBLER-DL_DENOM(number)',
       'ul_avg', 'MS_Average PDCP Layer Active Cell Throughput UL(number)'],
      dtype='object')",dl_avg,1.476,3.835,0.025,0.199,0.049
30,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Maximum eNodeB RB utilization DL (Nom)(number)',
       'RRC Setup Success Ratio_DENOM_LTE(number)',
       'RRC Setup Success Ratio_NOM_LTE(number)', 'MS_RBLER-DL_DENOM(number)',
       'ul_avg', 'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)'],
      dtype='object')",dl_avg,1.54,4.076,-0.036,0.201,0.051
31,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Maximum eNodeB RB utilization DL (Nom)(number)',
       'RRC Setup Success Ratio_DENOM_LTE(number)',
       'RRC Setup Success Ratio_NOM_LTE(number)', 'MS_RBLER-DL_DENOM(number)',
       'ul_avg', 'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'CSFB SR v7.0_DENOM_LTE(number)'],
      dtype='object')",dl_avg,1.563,4.162,-0.058,0.206,0.052
32,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Maximum eNodeB RB utilization DL (Nom)(number)',
       'RRC Setup Success Ratio_DENOM_LTE(number)',
       'RRC Setup Success Ratio_NOM_LTE(number)', 'MS_RBLER-DL_DENOM(number)',
       'ul_avg', 'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'CSFB SR v7.0_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_DENOM_LTE(number)'],
      dtype='object')",dl_avg,1.556,3.992,-0.015,0.206,0.05
33,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Maximum eNodeB RB utilization DL (Nom)(number)',
       'RRC Setup Success Ratio_DENOM_LTE(number)',
       'RRC Setup Success Ratio_NOM_LTE(number)', 'MS_RBLER-DL_DENOM(number)',
       'ul_avg', 'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'CSFB SR v7.0_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_DENOM_LTE(number)',
       'CSFB execution ratio_DENOM_LTE(number)'],
      dtype='object')",dl_avg,1.512,4.003,-0.017,0.197,0.05
34,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Maximum eNodeB RB utilization DL (Nom)(number)',
       'RRC Setup Success Ratio_DENOM_LTE(number)',
       'RRC Setup Success Ratio_NOM_LTE(number)', 'MS_RBLER-DL_DENOM(number)',
       'ul_avg', 'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'CSFB SR v7.0_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_DENOM_LTE(number)',
       'CSFB execution ratio_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_NOM_LTE(number)'],
      dtype='object')",dl_avg,1.56,4.087,-0.039,0.206,0.051
35,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Maximum eNodeB RB utilization DL (Nom)(number)',
       'RRC Setup Success Ratio_DENOM_LTE(number)',
       'RRC Setup Success Ratio_NOM_LTE(number)', 'MS_RBLER-DL_DENOM(number)',
       'ul_avg', 'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'CSFB SR v7.0_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_DENOM_LTE(number)',
       'CSFB execution ratio_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_NOM_LTE(number)',
       'MS_L.RRCRedirection.E2W.CSFB(number)'],
      dtype='object')",dl_avg,1.526,3.907,0.007,0.203,0.049
36,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Maximum eNodeB RB utilization DL (Nom)(number)',
       'RRC Setup Success Ratio_DENOM_LTE(number)',
       'RRC Setup Success Ratio_NOM_LTE(number)', 'MS_RBLER-DL_DENOM(number)',
       'ul_avg', 'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'CSFB SR v7.0_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_DENOM_LTE(number)',
       'CSFB execution ratio_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_NOM_LTE(number)',
       'MS_L.RRCRedirection.E2W.CSFB(number)', 'CSFB SR v7.0_NOM_LTE(number)'],
      dtype='object')",dl_avg,1.553,4.092,-0.04,0.206,0.052
37,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Maximum eNodeB RB utilization DL (Nom)(number)',
       'RRC Setup Success Ratio_DENOM_LTE(number)',
       'RRC Setup Success Ratio_NOM_LTE(number)', 'MS_RBLER-DL_DENOM(number)',
       'ul_avg', 'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'CSFB SR v7.0_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_DENOM_LTE(number)',
       'CSFB execution ratio_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_NOM_LTE(number)',
       'MS_L.RRCRedirection.E2W.CSFB(number)', 'CSFB SR v7.0_NOM_LTE(number)',
       'CSFB execution ratio_NOM_LTE(number)'],
      dtype='object')",dl_avg,1.516,3.97,-0.009,0.2,0.05
38,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Maximum eNodeB RB utilization DL (Nom)(number)',
       'RRC Setup Success Ratio_DENOM_LTE(number)',
       'RRC Setup Success Ratio_NOM_LTE(number)', 'MS_RBLER-DL_DENOM(number)',
       'ul_avg', 'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'CSFB SR v7.0_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_DENOM_LTE(number)',
       'CSFB execution ratio_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_NOM_LTE(number)',
       'MS_L.RRCRedirection.E2W.CSFB(number)', 'CSFB SR v7.0_NOM_LTE(number)',
       'CSFB execution ratio_NOM_LTE(number)',
       'MS_CSFB to UMTS Times(times)(times)'],
      dtype='object')",dl_avg,1.482,3.81,0.031,0.198,0.049
